1	16.1	1.2
2	14.6	1
3	15.6	3
4	14.5	2
5	13.5	3
6	13.5	4
7	12	1.2
8	10.5	1
9	10.8	3
10	10.4	2
11	9.5	3
12	8.4	3
13	11.7	6.2
14	12	5.1
15	12	7.3
16	9.9	7
17	9.9	5.1
18	9.9	4
19	8.4	4
20	6.2	7.3
21	7.4	7.3
22	8.2	6
23	6.1	5.8
24	7.1	5.5
25	7.1	4
26	4.9	4
27	3.2	3.5
28	2	3.5
29	2	1.7
30	2	0.8
31	4.9	6.1
32	4.9	7.9
33	5.6	0.7
34	3.2	1.8
35	5.1	2.8
36	7.5	1.3
37	7.5	2.4
38	6.5	2.8
39	0.5	4
40	1.4	4.3
41	2.2	4.2
42	3.4	4.2
43	1.3	2.8
44	1.3	1.7
45	0.5	2.8
46	3.6	0.7
47	3.6	2.8
48	3.6	6.1
49	14	6.8
50	16.2	6.8
51	14	5.4
52	15.4	7
53	15.9	5.1
54	15.9	4
55	0.5	1.7
56	7.2	0.7
57	15.4	6
