30	1	7	13	49
6865	1	7	13	49
6898	1	7	13	41
7047	1	7	13	41
7067	1	7	13	21
7170	1	7	13	21
7195	1	7	13	50
7204	1	7	13	50
7231	1	7	13	20
7272	1	7	13	20
7296	1	7	13	39
7439	1	7	13	39
7450	1	7	13	55
7863	1	7	13	55
7883	20	7	13	55
8078	20	7	13	55
8098	1	7	13	55
8526	1	7	13	55
8537	1	7	13	40
8578	1	7	13	40
8590	1	7	13	34
8593	1	7	13	34
8603	1	7	13	56
9539	1	7	13	56
9554	1	7	20	56
9700	1	7	20	56
9709	1	7	20	41
9711	1	7	20	41
9716	1	7	20	42
9732	1	7	20	42
9747	1	7	20	56
9768	1	7	20	56
9785	1	7	13	56
9947	1	7	13	56
9967	1	20	13	56
10031	1	20	13	56
10052	1	7	13	56
10443	1	7	13	56
10453	1	7	13	42
10467	1	7	13	42
10497	1	7	13	49
14409	1	7	13	49
14432	1	7	13	22
14854	1	7	13	22
14875	1	7	13	49
18040	1	7	13	49
18063	21	7	13	49
18236	21	7	13	49
18257	1	7	13	49
24135	1	7	13	49
24153	1	20	13	49
24246	1	20	13	49
24265	1	7	13	49
26143	1	7	13	49
26167	21	7	13	49
26229	21	7	13	49
26263	21	7	13	30
26358	21	7	13	30
26381	36	7	13	20
26922	36	7	13	20
26926	36	7	13	23
26949	36	7	13	23
26964	36	7	13	31
26988	36	7	13	31
26993	36	7	13	32
27003	36	7	13	32
27013	36	7	13	0
27025	36	7	13	0
27053	3	7	13	0
27158	3	7	13	0
27162	2	7	13	0
27180	2	20	13	0
27477	2	20	13	0
27499	20	20	13	0
27543	20	20	13	0
27560	20	39	13	0
27940	20	39	13	0
27950	20	44	13	0
27973	30	44	13	0
28116	30	44	13	0
28130	39	44	13	0
28478	39	44	13	0
28495	39	48	13	0
28847	39	48	13	0
28869	39	48	21	0
28879	43	48	21	0
29362	43	48	21	0
29372	39	48	21	0
29394	39	48	30	0
29482	39	48	30	0
29504	39	48	20	0
29521	39	40	20	0
29751	39	40	20	0
29769	21	40	20	0
29785	21	40	20	0
29808	21	40	14	0
29881	21	40	14	0
29898	32	40	14	0
29908	32	40	14	0
29918	0	40	14	0
30933	0	40	14	0
30957	0	20	14	0
31075	0	20	14	0
31090	0	20	15	0
31478	0	20	15	0
31499	0	20	20	0
31577	0	20	20	0
31580	0	21	20	0
31838	0	21	20	0
31852	0	21	42	0
31855	0	20	42	0
32012	0	20	42	0
32028	0	20	32	0
32050	0	40	32	0
32060	0	40	0	0
32953	0	40	0	0
32963	0	40	0	32
32973	0	40	0	32
32980	0	40	0	31
33020	0	40	0	31
33033	0	40	0	21
33101	0	40	0	21
33113	0	48	0	21
33126	0	48	0	21
33145	0	48	0	39
33228	0	48	0	39
33239	0	48	0	55
33490	0	48	0	55
33500	32	48	0	55
33510	32	48	0	55
33528	21	48	0	55
33659	21	48	0	55
33681	36	48	0	55
33879	36	48	0	55
33914	36	48	0	51
34219	36	48	0	51
34229	36	48	32	51
34239	36	48	32	51
34266	36	48	13	51
34370	36	48	13	51
34400	36	48	13	41
34452	36	48	13	41
34482	36	48	13	51
34498	36	48	13	51
34519	36	20	13	51
34604	36	20	13	51
34618	36	33	13	51
35176	36	33	13	51
35196	36	8	13	51
35502	36	8	13	51
35521	36	21	13	51
35602	36	21	13	51
35622	36	32	13	51
35632	36	32	13	51
35642	36	0	13	51
36533	36	0	13	51
36552	36	0	21	51
36655	36	0	21	51
36679	36	0	32	51
36689	36	0	32	51
36699	36	0	0	51
37335	36	0	0	51
37368	36	0	0	40
37457	36	0	0	40
37479	36	0	0	20
38289	36	0	0	20
38293	36	0	0	23
38371	36	0	0	23
38374	36	0	0	20
38462	36	0	0	20
38465	36	0	0	21
38897	36	0	0	21
38925	21	0	0	21
39028	21	0	0	21
39032	21	0	0	22
39152	21	0	0	22
